Slice	time	Mean
1	0.13333333333333333	6.5
2	0.26666666666666666	6.5
3	0.4	8.5
4	0.5333333333333333	9.5
5	0.6666666666666666	6.0
6	0.8	6.5
7	0.9333333333333333	6.0
8	1.0666666666666667	4.0
9	1.2	7.0
10	1.3333333333333333	7.5
11	1.4666666666666666	6.0
12	1.6	4.0
13	1.7333333333333334	4.0
14	1.8666666666666667	7.0
15	2.0	7.5
16	2.1333333333333333	8.5
17	2.2666666666666666	8.5
18	2.4	11.0
19	2.533333333333333	17.5
20	2.6666666666666665	20.5
21	2.8	29.0
22	2.933333333333333	31.0
23	3.066666666666667	26.5
24	3.2	18.5
25	3.3333333333333335	14.5
26	3.466666666666667	11.5
27	3.6	12.0
28	3.7333333333333334	12.0
29	3.8666666666666667	11.0
30	4.0	9.0
31	4.133333333333334	8.5
32	4.266666666666667	8.0
33	4.4	7.0
34	4.533333333333333	10.0
35	4.666666666666667	10.5
36	4.8	9.5
37	4.933333333333334	6.0
38	5.066666666666666	6.0
39	5.2	6.0
40	5.333333333333333	7.5
41	5.466666666666667	9.0
42	5.6	7.0
43	5.733333333333333	4.0
44	5.866666666666666	6.0
45	6.0	4.0
46	6.133333333333334	8.5
47	6.266666666666667	7.5
48	6.4	6.0
49	6.533333333333333	4.0
50	6.666666666666667	4.0
51	6.8	5.5
52	6.933333333333334	4.0
53	7.066666666666666	8.5
54	7.2	4.0
55	7.333333333333333	6.0
56	7.466666666666667	4.0
57	7.6	4.0
58	7.733333333333333	7.5
59	7.866666666666666	3.5
60	8.0	4.0
61	8.133333333333333	4.0
62	8.266666666666667	4.0
63	8.4	6.5
64	8.533333333333333	10.0
65	8.666666666666666	10.5
66	8.8	11.5
67	8.933333333333334	18.0
68	9.066666666666666	29.5
69	9.2	29.0
70	9.333333333333334	19.5
71	9.466666666666667	13.5
72	9.6	12.0
73	9.733333333333333	15.0
74	9.866666666666667	11.0
75	10.0	10.5
76	10.133333333333333	9.0
77	10.266666666666667	8.0
78	10.4	8.0
79	10.533333333333333	10.0
80	10.666666666666666	9.5
81	10.8	6.5
82	10.933333333333334	6.5
83	11.066666666666666	6.0
84	11.2	8.5
85	11.333333333333334	9.5
86	11.466666666666667	6.5
87	11.6	8.0
88	11.733333333333333	8.5
89	11.866666666666667	8.5
90	12.0	8.5
91	12.133333333333333	5.0
92	12.266666666666667	4.5
93	12.4	4.5
94	12.533333333333333	8.0
95	12.666666666666666	6.5
96	12.8	5.5
97	12.933333333333334	6.0
98	13.066666666666666	6.0
99	13.2	6.5
100	13.333333333333334	7.0
101	13.466666666666667	5.0
102	13.6	4.0
103	13.733333333333333	4.5
104	13.866666666666667	7.5
105	14.0	5.0
106	14.133333333333333	5.5
107	14.266666666666667	6.5
108	14.4	8.0
109	14.533333333333333	9.5
110	14.666666666666666	9.0
111	14.8	8.0
112	14.933333333333334	8.0
113	15.066666666666666	11.0
114	15.2	21.0
115	15.333333333333334	27.0
116	15.466666666666667	24.0
117	15.6	22.5
118	15.733333333333333	20.0
119	15.866666666666667	16.5
120	16.0	14.0
121	16.133333333333333	11.5
122	16.266666666666666	9.5
123	16.4	11.5
124	16.533333333333335	9.5
125	16.666666666666668	8.0
126	16.8	8.0
127	16.933333333333334	8.0
128	17.066666666666666	12.5
129	17.2	10.0
130	17.333333333333332	4.0
131	17.466666666666665	6.0
132	17.6	10.5
133	17.733333333333334	7.5
134	17.866666666666667	4.0
135	18.0	4.0
136	18.133333333333333	8.0
137	18.266666666666666	7.5
138	18.4	4.0
139	18.533333333333335	4.0
140	18.666666666666668	4.0
141	18.8	8.0
142	18.933333333333334	6.5
143	19.066666666666666	6.0
144	19.2	6.0
145	19.333333333333332	7.5
146	19.466666666666665	7.5
147	19.6	6.5
148	19.733333333333334	6.5
149	19.866666666666667	8.0
150	20.0	7.5
151	20.133333333333333	5.5
152	20.266666666666666	6.5
153	20.4	6.5
154	20.533333333333335	7.5
155	20.666666666666668	7.0
156	20.8	6.5
157	20.933333333333334	6.0
158	21.066666666666666	6.0
159	21.2	7.5
160	21.333333333333332	12.0
161	21.466666666666665	16.0
162	21.6	28.5
163	21.733333333333334	35.0
164	21.866666666666667	29.5
165	22.0	21.0
166	22.133333333333333	16.5
167	22.266666666666666	14.0
168	22.4	13.5
169	22.533333333333335	11.0
170	22.666666666666668	9.5
171	22.8	8.5
172	22.933333333333334	10.0
173	23.066666666666666	9.0
174	23.2	6.0
175	23.333333333333332	6.0
176	23.466666666666665	10.0
177	23.6	8.5
178	23.733333333333334	9.0
179	23.866666666666667	4.0
180	24.0	4.0
181	24.133333333333333	4.5
182	24.266666666666666	4.5
183	24.4	4.0
184	24.533333333333335	4.0
185	24.666666666666668	4.0
186	24.8	4.0
187	24.933333333333334	4.0
188	25.066666666666666	6.0
189	25.2	4.0
190	25.333333333333332	5.5
191	25.466666666666665	4.0
192	25.6	2.0
193	25.733333333333334	5.0
194	25.866666666666667	4.5
195	26.0	2.5
196	26.133333333333333	2.0
197	26.266666666666666	2.0
198	26.4	6.0
199	26.533333333333335	4.5
200	26.666666666666668	4.0
201	26.8	4.0
202	26.933333333333334	4.0
203	27.066666666666666	5.5
204	27.2	2.0
205	27.333333333333332	6.0
206	27.466666666666665	6.0
207	27.6	7.0
208	27.733333333333334	9.5
209	27.866666666666667	16.5
210	28.0	27.0
211	28.133333333333333	29.0
212	28.266666666666666	24.5
213	28.4	17.5
214	28.533333333333335	15.0
215	28.666666666666668	15.5
216	28.8	12.0
217	28.933333333333334	10.5
218	29.066666666666666	8.0
219	29.2	10.5
220	29.333333333333332	7.0
221	29.466666666666665	8.0
222	29.6	6.0
223	29.733333333333334	9.0
224	29.866666666666667	7.5
225	30.0	5.5
226	30.133333333333333	6.0
227	30.266666666666666	7.0
228	30.4	7.0
229	30.533333333333335	4.0
230	30.666666666666668	4.0
231	30.8	5.0
232	30.933333333333334	7.0
233	31.066666666666666	6.0
234	31.2	4.0
235	31.333333333333332	5.0
236	31.466666666666665	6.5
237	31.6	6.0
238	31.733333333333334	4.0
239	31.866666666666667	2.0
240	32.0	6.0
241	32.13333333333333	6.5
242	32.266666666666666	5.5
243	32.4	6.0
244	32.53333333333333	4.0
245	32.666666666666664	1.5
246	32.8	2.0
247	32.93333333333333	4.0
248	33.06666666666667	6.0
249	33.2	4.0
250	33.333333333333336	4.0
251	33.46666666666667	5.5
252	33.6	4.0
253	33.733333333333334	5.0
254	33.86666666666667	6.0
255	34.0	6.0
256	34.13333333333333	8.5
257	34.266666666666666	22.0
258	34.4	32.0
259	34.53333333333333	30.0
260	34.666666666666664	25.5
261	34.8	21.0
262	34.93333333333333	14.0
263	35.06666666666667	15.0
264	35.2	10.0
265	35.333333333333336	9.5
266	35.46666666666667	8.5
267	35.6	8.0
268	35.733333333333334	6.0
269	35.86666666666667	8.5
270	36.0	9.0
271	36.13333333333333	8.0
272	36.266666666666666	8.0
273	36.4	5.5
274	36.53333333333333	6.5
275	36.666666666666664	6.0
276	36.8	4.0
277	36.93333333333333	5.0
278	37.06666666666667	4.5
279	37.2	4.0
280	37.333333333333336	4.0
281	37.46666666666667	4.5
282	37.6	5.5
283	37.733333333333334	4.0
284	37.86666666666667	6.0
285	38.0	6.5
286	38.13333333333333	7.0
287	38.266666666666666	6.5
