Distance_(pixels)	Gray_Value	distance
0	108.0	0.0
1	108.0	0.0147058824
2	108.2131	0.0294117648
3	108.8197	0.0441176472
4	109.5078	0.0588235296
5	111.0219	0.073529412
6	112.4262	0.0882352944
7	113.4918	0.1029411768
8	114.7614	0.1176470592
9	115.9172	0.1323529416
10	117.8907	0.147058824
11	114.4785	0.1617647064
12	111.5738	0.1764705888
13	110.4437	0.1911764712
14	110.0997	0.2058823536
15	109.9672	0.220588236
16	110.0	0.2352941184
17	110.0	0.2500000008
18	110.0	0.2647058832
19	110.2416	0.27941176560000003
20	112.2945	0.294117648
21	114.4109	0.3088235304
22	114.4481	0.3235294128
23	113.6675	0.3382352952
24	112.2951	0.3529411776
25	110.7357	0.36764706
26	109.2885	0.3823529424
27	109.541	0.3970588248
28	110.0	0.4117647072
29	110.1366	0.4264705896
30	110.9215	0.441176472
31	109.3915	0.4558823544
32	110.0383	0.4705882368
33	113.9726	0.4852941192
34	113.7067	0.5000000016
35	114.9227	0.5147058840000001
36	111.9344	0.5294117664
37	108.7273	0.5441176488
38	107.2186	0.5588235312000001
39	106.7713	0.5735294136
40	106.2842	0.588235296
41	108.2962	0.6029411784
42	109.9922	0.6176470608
43	111.388	0.6323529432
44	113.0851	0.6470588256
45	116.5184	0.661764708
46	112.3331	0.6764705904
47	114.0247	0.6911764728
48	113.2951	0.7058823552
49	111.1858	0.7205882376
50	109.7814	0.73529412
51	109.7541	0.7500000024
52	110.0	0.7647058848
53	109.9581	0.7794117672
54	109.2257	0.7941176496
55	108.6827	0.808823532
56	108.6882	0.8235294144
57	110.322	0.8382352968
58	113.0874	0.8529411792
59	116.264	0.8676470616
60	114.527	0.882352944
61	111.6667	0.8970588264
62	109.6066	0.9117647088
63	107.7936	0.9264705912
64	107.8798	0.9411764736
65	108.7974	0.955882356
66	109.6229	0.9705882384
67	109.8142	0.9852941208
68	110.2514	1.0000000032
69	111.0419	1.0147058856
70	112.6948	1.0294117680000001
71	116.0846	1.0441176504
72	118.5665	1.0588235328
73	114.6054	1.0735294152000001
74	107.2207	1.0882352976
75	104.903	1.10294118
76	106.4285	1.1176470624000001
77	108.5372	1.1323529448
78	108.2295	1.1470588272
79	106.1639	1.1617647096000001
80	108.3837	1.176470592
81	108.3276	1.1911764744
82	108.3104	1.2058823568
83	110.739	1.2205882392
84	113.8393	1.2352941216
85	113.0426	1.250000004
86	108.8396	1.2647058864
87	105.7256	1.2794117688
88	106.1422	1.2941176512
89	107.0272	1.3088235336
90	108.3744	1.323529416
91	109.6011	1.3382352984
92	110.3204	1.3529411808
93	111.4098	1.3676470632
94	112.0	1.3823529456
95	112.7924	1.397058828
96	114.0449	1.4117647104
97	113.8396	1.4264705928
98	112.2894	1.4411764752
99	109.8877	1.4558823576
100	108.0072	1.47058824
101	107.7377	1.4852941224
102	107.0817	1.5000000048
103	106.4329	1.5147058872
104	106.082	1.5294117696
105	107.459	1.544117652
106	109.4317	1.5588235344
107	112.0	1.5735294168
108	114.3279	1.5882352992
109	115.9279	1.6029411816
110	114.6926	1.617647064
111	110.3886	1.6323529464
112	105.5559	1.6470588288
113	105.0569	1.6617647112
114	106.9508	1.6764705936
115	107.7486	1.691176476
116	108.5464	1.7058823584
117	109.3443	1.7205882408
118	110.0815	1.7352941232
119	110.9399	1.7500000056
120	113.9508	1.764705888
121	115.0	1.7794117704
122	114.3333	1.7941176528
123	111.2623	1.8088235352
124	107.0862	1.8235294176
125	106.0493	1.8382353
126	106.8256	1.8529411824
127	107.0	1.8676470648
128	107.1202	1.8823529472
129	107.9382	1.8970588296
130	108.7158	1.911764712
131	110.7096	1.9264705944
132	112.7132	1.9411764768
133	113.7814	1.9558823592
134	111.6543	1.9705882416
135	108.1148	1.985294124
136	105.2582	2.0000000064
137	103.9016	2.0147058888
138	103.2951	2.0294117712
139	104.2459	2.0441176536
140	108.1739	2.0588235360000002
141	109.5816	2.0735294184
142	111.4967	2.0882353008
143	114.4109	2.1029411832
144	116.1215	2.1176470656
145	113.7994	2.132352948
146	109.8852	2.1470588304000002
147	106.8361	2.1617647128
148	106.2885	2.1764705952
149	106.5447	2.1911764776
150	106.6775	2.20588236
151	107.9399	2.2205882424
152	109.3775	2.2352941248000002
153	108.6955	2.2500000072
154	110.5464	2.2647058896
155	113.3607	2.279411772
156	115.3061	2.2941176544
157	113.8821	2.3088235368
158	109.2911	2.3235294192000002
159	104.7049	2.3382353016
160	104.9828	2.352941184
161	106.6557	2.3676470664
162	107.2623	2.3823529488
163	107.9126	2.3970588312
164	108.8415	2.4117647136
165	109.8852	2.426470596
166	112.2017	2.4411764784
167	113.027	2.4558823608
168	111.2064	2.4705882432
169	108.4221	2.4852941256
170	106.7137	2.500000008
171	105.2787	2.5147058904
172	105.6557	2.5294117728
173	106.8689	2.5441176552
174	108.5254	2.5588235376
175	110.6522	2.57352942
176	112.1694	2.5882353024
177	112.3494	2.6029411848
178	110.0441	2.6176470672
179	111.2514	2.6323529496
180	115.2075	2.647058832
181	115.7444	2.6617647144
182	116.0	2.6764705968
183	116.0	2.6911764792
