Frequency	Power
0.000000e+00	4.116575e+08
4.655493e-03	1.015398e+04
9.310987e-03	2.500022e+03
1.396648e-02	1.576741e+03
1.862197e-02	2.736335e+03
2.327747e-02	3.926846e+02
2.793296e-02	1.336160e+03
3.258845e-02	1.816525e+03
3.724395e-02	1.349205e+03
4.189944e-02	5.448925e+02
4.655493e-02	1.360935e+03
5.121043e-02	2.384091e+03
5.586592e-02	3.915616e+02
6.052142e-02	1.089260e+03
6.517691e-02	2.986334e+03
6.983240e-02	8.183867e+04
7.448790e-02	9.047523e+03
7.914339e-02	5.327576e+03
8.379888e-02	3.103128e+03
8.845438e-02	2.749013e+01
9.310987e-02	2.199999e+03
9.776536e-02	7.261492e+02
1.024209e-01	1.485693e+03
1.070764e-01	1.981300e+03
1.117318e-01	4.349925e+02
1.163873e-01	8.242341e+02
1.210428e-01	8.264648e+02
1.256983e-01	6.608296e+02
1.303538e-01	1.339559e+03
1.350093e-01	3.409856e+03
1.396648e-01	1.060398e+04
1.443203e-01	1.298048e+03
1.489758e-01	1.242976e+02
1.536313e-01	1.568196e+03
1.582868e-01	1.057836e+02
1.629423e-01	4.371195e+02
1.675978e-01	3.424211e+02
1.722533e-01	1.574348e+02
1.769088e-01	4.158462e+01
1.815642e-01	7.751587e+02
1.862197e-01	1.362673e+02
1.908752e-01	1.847136e+02
1.955307e-01	5.626794e+01
2.001862e-01	5.156307e+02
2.048417e-01	7.890267e+02
2.094972e-01	1.802795e+02
2.141527e-01	3.475720e+02
2.188082e-01	6.958330e+01
2.234637e-01	4.119660e+02
2.281192e-01	2.534501e+02
2.327747e-01	1.514430e+02
2.374302e-01	3.005322e+00
2.420857e-01	3.619611e+02
2.467412e-01	1.042616e+02
2.513966e-01	2.415234e+01
2.560521e-01	2.667456e+01
2.607076e-01	1.909442e+02
2.653631e-01	7.685655e+00
2.700186e-01	4.739887e+01
2.746741e-01	1.401818e+02
2.793296e-01	2.283961e+02
2.839851e-01	1.546145e+02
2.886406e-01	8.690907e+01
2.932961e-01	4.571903e+01
2.979516e-01	2.655323e+02
3.026071e-01	2.880003e+02
3.072626e-01	3.087649e+01
3.119181e-01	3.349519e+01
3.165736e-01	9.198520e+01
3.212291e-01	2.378023e-01
3.258845e-01	9.534872e+01
3.305400e-01	1.602199e+01
3.351955e-01	4.655153e+01
3.398510e-01	3.243622e+01
3.445065e-01	6.402365e+01
3.491620e-01	8.104452e+01
3.538175e-01	9.249507e+01
3.584730e-01	5.970379e+01
3.631285e-01	2.100764e+01
3.677840e-01	7.773362e+01
3.724395e-01	3.258767e+01
3.770950e-01	1.267692e+01
3.817505e-01	4.621955e+01
3.864060e-01	2.302324e+01
3.910615e-01	3.982127e+01
3.957169e-01	4.298725e+01
4.003724e-01	1.160651e+01
4.050279e-01	2.363222e+01
4.096834e-01	8.345259e+01
4.143389e-01	8.978987e+01
4.189944e-01	2.544002e+01
4.236499e-01	7.981853e+01
