Frequency	Power
0.000000e+00	1.701459e+08
4.655493e-03	4.597027e+05
9.310987e-03	2.795892e+05
1.396648e-02	1.797614e+05
1.862197e-02	8.748293e+04
2.327747e-02	7.234808e+04
2.793296e-02	1.249792e+04
3.258845e-02	4.569495e+04
3.724395e-02	2.688733e+04
4.189944e-02	1.389637e+05
4.655493e-02	1.116709e+05
5.121043e-02	3.992731e+04
5.586592e-02	6.644267e+04
6.052142e-02	6.122424e+04
6.517691e-02	7.811668e+04
6.983240e-02	5.161818e+04
7.448790e-02	4.207636e+04
7.914339e-02	5.946626e+04
8.379888e-02	1.978901e+04
8.845438e-02	1.107006e+04
9.310987e-02	6.313654e+03
9.776536e-02	1.351676e+04
1.024209e-01	1.325742e+04
1.070764e-01	8.770528e+04
1.117318e-01	1.424178e+04
1.163873e-01	1.924893e+04
1.210428e-01	8.760669e+04
1.256983e-01	2.053148e+04
1.303538e-01	2.360844e+05
1.350093e-01	4.869772e+04
1.396648e-01	6.178541e+05
1.443203e-01	2.749192e+06
1.489758e-01	1.305969e+07
1.536313e-01	1.761590e+06
1.582868e-01	2.204536e+05
1.629423e-01	5.820709e+05
1.675978e-01	1.764192e+05
1.722533e-01	2.113890e+05
1.769088e-01	4.058884e+04
1.815642e-01	2.521603e+04
1.862197e-01	3.301047e+04
1.908752e-01	1.133021e+04
1.955307e-01	2.511021e+04
2.001862e-01	6.184111e+03
2.048417e-01	1.839628e+04
2.094972e-01	4.325034e+03
2.141527e-01	9.389209e+03
2.188082e-01	2.227422e+03
2.234637e-01	2.891979e+04
2.281192e-01	2.934800e+04
2.327747e-01	5.817987e+03
2.374302e-01	1.105022e+02
2.420857e-01	9.730606e+03
2.467412e-01	1.694013e+04
2.513966e-01	6.126178e+04
2.560521e-01	7.432182e+04
2.607076e-01	5.690422e+04
2.653631e-01	9.737499e+02
2.700186e-01	1.290444e+05
2.746741e-01	5.652003e+04
2.793296e-01	2.722935e+05
2.839851e-01	4.895256e+05
2.886406e-01	9.735948e+05
2.932961e-01	4.886439e+06
2.979516e-01	2.550706e+06
3.026071e-01	2.141109e+06
3.072626e-01	2.476569e+05
3.119181e-01	6.375188e+05
3.165736e-01	4.183503e+05
3.212291e-01	2.639653e+05
3.258845e-01	1.377282e+05
3.305400e-01	3.731442e+04
3.351955e-01	2.309869e+04
3.398510e-01	1.212387e+04
3.445065e-01	1.390962e+04
3.491620e-01	6.682909e+02
3.538175e-01	7.512945e+03
3.584730e-01	5.957063e+02
3.631285e-01	3.918936e+04
3.677840e-01	2.600479e+04
3.724395e-01	3.216479e+04
3.770950e-01	5.867015e+02
3.817505e-01	1.133670e+04
3.864060e-01	1.187254e+03
3.910615e-01	1.192039e+04
3.957169e-01	1.769590e+04
4.003724e-01	1.390119e+05
4.050279e-01	1.308397e+05
4.096834e-01	3.956085e+04
4.143389e-01	3.753332e+04
4.189944e-01	1.006467e+05
4.236499e-01	1.717751e+05
4.283054e-01	2.074022e+05
4.329609e-01	1.157457e+06
4.376164e-01	7.177390e+05
4.422719e-01	2.855547e+06
4.469274e-01	2.566917e+05
4.515829e-01	9.073265e+05
4.562384e-01	1.221613e+05
4.608939e-01	2.939749e+05
4.655493e-01	5.652255e+05
4.702048e-01	8.586004e+04
4.748603e-01	2.949706e+05
4.795158e-01	1.469655e+05
4.841713e-01	4.160564e+04
4.888268e-01	6.957854e+04
4.934823e-01	3.970353e+03
4.981378e-01	2.111342e+04
5.027933e-01	2.535184e+04
5.074488e-01	2.125536e+04
5.121043e-01	1.466095e+03
5.167598e-01	5.411960e+04
5.214153e-01	2.898378e+03
5.260708e-01	5.288873e+03
5.307263e-01	5.423804e+02
5.353818e-01	2.303743e+03
5.400372e-01	2.756407e+04
5.446927e-01	7.282286e+04
5.493482e-01	2.456602e+04
5.540037e-01	1.330277e+05
5.586592e-01	2.606550e+04
5.633147e-01	2.291322e+05
5.679702e-01	4.443930e+04
5.726257e-01	8.218438e+04
5.772812e-01	4.696053e+05
5.819367e-01	1.110141e+06
5.865922e-01	4.009850e+05
5.912477e-01	6.814278e+05
5.959032e-01	5.302127e+05
6.005587e-01	2.318245e+05
6.052142e-01	1.619442e+05
6.098696e-01	2.934414e+05
6.145251e-01	4.188613e+05
6.191806e-01	7.311603e+04
6.238361e-01	2.193150e+05
6.284916e-01	2.181660e+05
6.331471e-01	5.390961e+04
6.378026e-01	5.551809e+04
6.424581e-01	3.779029e+04
6.471136e-01	3.550375e+03
6.517691e-01	3.580800e+04
6.564246e-01	9.645160e+03
6.610801e-01	1.481038e+04
6.657356e-01	4.744333e+04
6.703911e-01	2.039008e+03
6.750466e-01	3.155470e+04
6.797020e-01	6.717836e+03
6.843575e-01	2.417223e+04
6.890130e-01	3.797541e+04
6.936685e-01	6.960126e+04
6.983240e-01	4.857344e+04
7.029795e-01	6.349179e+04
7.076350e-01	1.483745e+05
7.122905e-01	2.533825e+05
7.169460e-01	7.126521e+03
7.216015e-01	8.023115e+04
7.262570e-01	7.081284e+05
7.309125e-01	4.675961e+05
7.355680e-01	4.325555e+05
7.402235e-01	5.783653e+04
7.448790e-01	6.061835e+05
7.495345e-01	5.155309e+03
7.541899e-01	7.288741e+04
7.588454e-01	3.636143e+05
7.635009e-01	2.566468e+05
7.681564e-01	4.985072e+04
7.728119e-01	4.559783e+04
7.774674e-01	1.349104e+05
7.821229e-01	4.787465e+04
7.867784e-01	5.644589e+04
7.914339e-01	4.066004e+04
7.960894e-01	4.933133e+04
8.007449e-01	1.608489e+04
8.054004e-01	5.010418e+03
8.100559e-01	3.444406e+04
8.147114e-01	2.491088e+04
8.193669e-01	7.194888e+03
8.240223e-01	1.887723e+04
8.286778e-01	4.596950e+03
8.333333e-01	5.461718e+04
8.379888e-01	1.671171e+04
8.426443e-01	2.041137e+04
8.472998e-01	2.466014e+04
8.519553e-01	5.461869e+02
8.566108e-01	2.692265e+05
8.612663e-01	1.197918e+05
8.659218e-01	1.244323e+04
8.705773e-01	1.692009e+05
8.752328e-01	4.747496e+05
8.798883e-01	6.556945e+04
8.845438e-01	1.878296e+05
8.891993e-01	1.958320e+04
8.938547e-01	2.515192e+05
8.985102e-01	1.123747e+05
9.031657e-01	1.032613e+04
9.078212e-01	2.793610e+05
9.124767e-01	1.788884e+05
9.171322e-01	1.137651e+04
9.217877e-01	1.816501e+04
9.264432e-01	7.351485e+04
9.310987e-01	3.440738e+04
9.357542e-01	1.972292e+04
9.404097e-01	3.947999e+03
9.450652e-01	6.486229e+04
9.497207e-01	5.369754e+03
9.543762e-01	4.217871e+04
9.590317e-01	2.348243e+03
