x_peak y_peak
3.848510000000000275e+01 2.087000000000000000e+03
3.857739999999999725e+01 1.134000000000000000e+03
4.022429999999999950e+01 4.750000000000000000e+02
4.276389999999999958e+01 4.910000000000000000e+02
4.351809999999999690e+01 3.510000000000000000e+02
4.471860000000000213e+01 4.096200000000000000e+04
4.484170000000000300e+01 2.304800000000000000e+04
5.817069999999999652e+01 1.840000000000000000e+02
6.204930000000000234e+01 1.980000000000000000e+02
6.509680000000000177e+01 1.515700000000000000e+04
6.528149999999999409e+01 8.189000000000000000e+03
6.951420000000000243e+01 3.490000000000000000e+02
7.436249999999999716e+01 4.260000000000000000e+02
7.821030000000000371e+01 3.730900000000000000e+04
7.844119999999999493e+01 2.054200000000000000e+04
9.906570000000000675e+01 2.939000000000000000e+03
9.940430000000000632e+01 1.520000000000000000e+03
